,subject,period,musician,epochtype,epochs
10,08,pre,0,all,"[[ 2.81359898e-07  2.50099540e-07  2.04929243e-07 ... -8.29553836e-07
  -1.01928975e-06 -1.22889299e-06]
 [ 7.09946777e-09  1.01594270e-08  1.11935640e-08 ... -8.62090621e-07
  -1.03857475e-06 -1.23158692e-06]
 [ 3.47198063e-07  2.75264187e-07  2.00707106e-07 ... -9.51204705e-07
  -1.13061335e-06 -1.33786315e-06]
 ...
 [ 3.09244407e-08  5.01713991e-08  4.84355716e-08 ... -3.00684168e-08
   8.99410413e-08  2.86606645e-07]
 [ 9.12430733e-09  2.40618440e-08  3.89586322e-08 ... -1.44214188e-07
  -1.11148723e-07 -1.89722532e-08]
 [ 1.20276725e-07  8.82074608e-08  6.70507760e-08 ... -1.80066239e-07
  -9.33266056e-08  8.55754772e-08]]"
11,08,post,0,all,"[[ 2.18975371e-07  4.20927807e-07  6.02521914e-07 ... -7.00072348e-07
  -7.05828008e-07 -7.38111987e-07]
 [ 1.48132582e-07  2.59067913e-07  4.16514169e-07 ... -8.52221026e-07
  -7.83545445e-07 -7.19381121e-07]
 [ 4.25531006e-07  6.09880132e-07  8.20992567e-07 ... -9.33718126e-07
  -8.51643550e-07 -8.12820608e-07]
 ...
 [ 5.26390114e-07  2.91002184e-07  5.68062911e-08 ... -4.77493969e-08
  -4.01473519e-08 -1.16348225e-07]
 [ 3.07399946e-07  2.07729938e-07  1.16860879e-07 ... -1.56280153e-07
  -1.47495175e-07 -1.96320205e-07]
 [ 7.08920459e-07  4.29538821e-07  1.12890251e-07 ... -7.69360183e-08
  -1.20990574e-08 -3.63601365e-08]]"
12,09,pre,0,all,"[[ 5.79339951e-08 -9.79245595e-09 -5.40361769e-08 ... -7.41862154e-07
  -7.69301529e-07 -8.23154054e-07]
 [ 1.36339861e-07  8.44451505e-08  3.08616278e-08 ... -5.06247328e-07
  -5.16715927e-07 -5.39154911e-07]
 [-2.81013091e-08 -9.76725393e-08 -1.11293987e-07 ... -9.46558041e-07
  -9.76825676e-07 -1.01475127e-06]
 ...
 [ 1.23316007e-07  3.45432010e-07  5.23120850e-07 ...  3.65931198e-08
  -1.31476989e-07 -2.75150167e-07]
 [ 2.09291648e-08  1.59451855e-07  2.83425325e-07 ... -1.72556074e-08
  -1.86525317e-07 -3.44476426e-07]
 [ 7.05332148e-08  2.07173693e-07  3.25103140e-07 ...  1.45144454e-07
   1.14244718e-08 -1.10989732e-07]]"
13,09,post,0,all,"[[ 1.83528971e-07  1.95744201e-07  1.91127592e-07 ... -8.15903422e-07
  -8.54524760e-07 -8.94366087e-07]
 [ 4.00364910e-07  3.15230567e-07  2.34222487e-07 ... -6.61148796e-07
  -6.78589877e-07 -6.83860188e-07]
 [ 2.91435324e-07  2.30394655e-07  2.29098033e-07 ... -7.45790569e-07
  -8.50421922e-07 -9.39658455e-07]
 ...
 [-1.44484474e-07 -2.18192810e-07 -2.10857621e-07 ...  5.82646042e-07
   4.82185475e-07  3.24915964e-07]
 [ 1.28244245e-08 -4.71963066e-08 -5.74569378e-08 ...  3.50577437e-07
   2.59171434e-07  1.08891532e-07]
 [ 1.83243923e-07  1.29090326e-07  1.20235894e-07 ...  4.67551890e-07
   4.26723592e-07  3.04865987e-07]]"
14,10,pre,0,all,"[[-9.37058595e-08 -5.57703846e-08 -5.57659997e-08 ... -1.99027595e-08
   7.17428653e-08  9.30564691e-08]
 [-1.70735731e-07 -1.09979803e-07 -7.00529285e-08 ... -8.44090081e-08
   3.76996142e-08  7.37413384e-08]
 [-7.80043768e-10 -2.31103075e-08 -8.48559132e-08 ...  1.66000532e-07
   3.06319506e-07  3.41867797e-07]
 ...
 [-5.10307584e-08 -1.47443761e-07 -2.33769347e-07 ...  3.98908118e-07
   5.13082602e-07  5.61915792e-07]
 [-2.10111246e-07 -3.47744951e-07 -4.61327880e-07 ...  4.34224453e-07
   5.71637928e-07  6.04933688e-07]
 [-1.84641991e-07 -2.83808274e-07 -3.59857745e-07 ...  1.12346353e-07
   1.70396221e-07  1.61033446e-07]]"
15,10,post,0,all,"[[ 5.54560329e-08 -8.15627639e-09 -8.08556322e-08 ...  3.32220826e-07
   4.72232464e-07  5.30508635e-07]
 [ 1.22808913e-08 -5.05795714e-08 -1.54280270e-07 ...  6.07893377e-07
   7.75741447e-07  9.09667710e-07]
 [-1.00157314e-07 -1.38865004e-07 -1.94199609e-07 ...  9.83234307e-08
   2.88777387e-07  4.39523273e-07]
 ...
 [-3.35092295e-07 -3.19668812e-07 -3.16321646e-07 ...  3.10934884e-07
   6.35105340e-07  9.18496378e-07]
 [-2.26044249e-07 -3.31161204e-07 -4.62427424e-07 ...  4.83432915e-07
   8.30175487e-07  1.12887606e-06]
 [ 2.46801828e-07  1.92749885e-07  1.34566046e-07 ...  2.67376427e-07
   5.06760658e-07  7.19843679e-07]]"
16,11,pre,0,all,"[[-2.26128095e-07 -1.94156640e-07 -1.48516211e-07 ... -7.69576639e-07
  -7.43365889e-07 -7.65971548e-07]
 [-9.04327806e-08 -6.95152943e-08 -4.16843486e-08 ... -6.44311689e-07
  -6.26505687e-07 -6.54854868e-07]
 [-8.79533226e-08 -4.50764689e-08 -4.60131033e-09 ... -8.23820888e-07
  -8.07835687e-07 -8.54616178e-07]
 ...
 [-1.18765600e-07 -9.10410343e-08 -9.50579995e-08 ...  3.01500085e-07
   5.46781569e-08 -2.00909908e-07]
 [-1.46424508e-07 -1.00055980e-07 -8.30503368e-08 ...  4.04500313e-07
   1.77172396e-07 -1.12531871e-07]
 [-9.09516411e-09 -5.74860476e-09 -3.45656623e-08 ...  3.13046999e-07
   1.36242312e-07 -7.48125775e-08]]"
17,11,post,0,all,"[[ 3.33125122e-07  2.37066703e-07  1.54211788e-07 ... -4.33584059e-07
  -3.29932560e-07 -2.62999277e-07]
 [ 2.76333274e-07  1.66424762e-07  7.45772474e-08 ... -5.73631015e-07
  -4.52990784e-07 -3.53738595e-07]
 [ 3.00057924e-07  1.92584451e-07  1.09919009e-07 ... -4.32253284e-07
  -3.35027547e-07 -2.82529404e-07]
 ...
 [-1.67218458e-08  2.83282470e-07  4.23351563e-07 ... -6.33405809e-08
  -2.04966162e-08  3.27808006e-08]
 [-3.52496731e-07 -5.32014923e-08  1.36645929e-07 ...  1.69018797e-07
   2.52023979e-07  2.81705846e-07]
 [-3.16713582e-07 -7.96779293e-08  6.60365837e-08 ...  1.51283245e-07
   1.51126143e-07  1.46478139e-07]]"
18,12,pre,1,all,"[[ 2.34956853e-06  1.74241443e-06  1.07332142e-06 ...  1.45889127e-06
   1.33403984e-06  1.10724613e-06]
 [ 2.01982869e-06  1.53629250e-06  1.01936309e-06 ...  9.95599831e-07
   7.66399970e-07  4.78593154e-07]
 [ 1.48118330e-06  1.10714511e-06  6.99840942e-07 ...  1.09411654e-06
   1.00860457e-06  7.79920743e-07]
 ...
 [-3.00994096e-07 -4.33057955e-07 -5.44119608e-07 ...  7.40269514e-07
   7.91066329e-07  8.38416001e-07]
 [-3.11837092e-07 -4.69284240e-07 -5.69804908e-07 ...  1.00679229e-06
   9.54546156e-07  8.98858329e-07]
 [-4.34780635e-07 -5.14153196e-07 -5.60968497e-07 ...  9.17282055e-07
   9.14740355e-07  8.98740293e-07]]"
19,12,post,1,all,"[[-5.40334734e-08 -1.34100697e-07 -1.12615375e-07 ...  9.04062261e-07
   8.86755752e-07  8.59152775e-07]
 [-4.28309250e-07 -4.96625526e-07 -4.52895562e-07 ...  7.83312746e-07
   8.62187256e-07  8.97053816e-07]
 [-4.62589373e-07 -5.18094916e-07 -4.63674755e-07 ...  8.37487018e-07
   9.48206314e-07  9.89035483e-07]
 ...
 [ 3.01666735e-07  4.36708469e-07  4.50793925e-07 ... -7.17872591e-08
   3.99041799e-08  8.97170438e-08]
 [ 4.59959821e-07  5.84521820e-07  5.82903719e-07 ...  2.23054223e-07
   3.72239387e-07  3.85530207e-07]
 [ 3.99422494e-07  5.72896903e-07  6.07136027e-07 ...  1.34609534e-07
   1.90228462e-07  1.56217404e-07]]"
20,13,pre,1,all,"[[-1.31184381e-06 -1.13916755e-06 -8.92231792e-07 ... -9.10047678e-07
  -1.36602144e-06 -1.70835569e-06]
 [-9.85835616e-07 -9.28442192e-07 -8.26835119e-07 ... -4.98220428e-07
  -9.53887657e-07 -1.35159902e-06]
 [-9.57789874e-07 -8.70684392e-07 -6.93559870e-07 ... -1.13613905e-07
  -6.71732483e-07 -1.15865313e-06]
 ...
 [ 8.85675305e-07  9.44338617e-07  8.53575809e-07 ...  2.59646429e-07
   9.76952163e-07  1.43619983e-06]
 [ 7.81104293e-07  8.76963633e-07  8.33184618e-07 ...  4.51410958e-07
   8.18215356e-07  9.85686110e-07]
 [ 9.92615103e-07  1.06478765e-06  9.93740929e-07 ...  2.32058793e-07
   8.28305607e-07  1.21159451e-06]]"
21,13,post,1,all,"[[ 7.72921256e-08  1.53849774e-08 -1.56250138e-08 ...  5.47839836e-08
  -1.93500738e-07 -5.59404035e-07]
 [-8.84963822e-08 -1.13153920e-07 -7.96308024e-08 ...  2.03877809e-07
  -2.84416693e-09 -2.96246383e-07]
 [ 1.59405974e-07  8.22407073e-08  5.42655729e-08 ... -3.53216383e-07
  -6.53365725e-07 -1.05275236e-06]
 ...
 [ 9.93877986e-07  8.14452861e-07  5.66720221e-07 ...  6.83080354e-07
   7.11576203e-07  7.86015109e-07]
 [ 2.85544976e-07  3.04299464e-07  3.01577244e-07 ...  7.95697184e-07
   6.70574549e-07  5.70931465e-07]
 [ 7.02122029e-07  6.39128755e-07  5.13442593e-07 ...  6.98495663e-07
   6.98512160e-07  7.78038431e-07]]"
22,14,pre,1,all,"[[-2.45540713e-07 -3.60947554e-07 -4.30873252e-07 ... -6.43740784e-07
  -6.68434292e-07 -6.95246428e-07]
 [-2.93991837e-07 -4.62272271e-07 -5.94311367e-07 ... -5.65260650e-07
  -5.07134279e-07 -4.59570188e-07]
 [-4.52101648e-07 -5.50379392e-07 -5.96065265e-07 ... -6.35207133e-07
  -6.94100921e-07 -7.93326903e-07]
 ...
 [-4.28623909e-08  2.30223240e-07  5.35953988e-07 ...  6.36526914e-07
   9.28012834e-07  1.09069909e-06]
 [-6.13181253e-07 -3.94675157e-07 -1.95458913e-07 ... -1.02055042e-07
  -4.88984280e-08 -5.10105504e-08]
 [-3.46551412e-07 -1.25395634e-07  8.14112888e-08 ... -2.49073227e-10
   1.71632815e-07  2.90933309e-07]]"
23,14,post,1,all,"[[ 7.22271088e-07  6.16429732e-07  4.92547306e-07 ... -7.31688731e-07
  -7.16944494e-07 -7.16200290e-07]
 [ 5.96847760e-07  4.92662376e-07  3.58996941e-07 ... -2.88560611e-07
  -2.90239186e-07 -3.23097627e-07]
 [ 9.47063013e-07  7.79009970e-07  5.95100166e-07 ... -1.01324782e-06
  -9.93955404e-07 -9.71791290e-07]
 ...
 [-4.16896907e-07 -4.40031967e-07 -1.79245101e-07 ...  4.66018001e-08
   2.40699418e-07  4.76463971e-07]
 [-5.45382212e-07 -8.48674239e-07 -8.35689702e-07 ...  7.31542733e-07
   8.55508068e-07  8.42742414e-07]
 [-3.17074558e-07 -4.33327551e-07 -3.14472916e-07 ...  4.02755969e-07
   5.88835420e-07  7.42267658e-07]]"
24,15,pre,1,all,"[[ 2.20139270e-06  2.09752524e-06  2.03096760e-06 ... -9.39518114e-07
  -1.12584265e-06 -1.29707518e-06]
 [ 1.62126191e-06  1.48394367e-06  1.37618704e-06 ... -7.14313566e-07
  -8.21450411e-07 -9.21071169e-07]
 [ 6.28982307e-07  5.37625053e-07  5.14600153e-07 ... -7.94398205e-07
  -9.50294376e-07 -1.06000798e-06]
 ...
 [ 2.57628201e-07  3.08709850e-07  3.79021615e-07 ... -4.06007320e-07
  -4.60511393e-07 -4.91330965e-07]
 [ 1.28788349e-07  1.99675288e-07  2.93822348e-07 ... -6.73632279e-07
  -7.49690981e-07 -7.94381348e-07]
 [ 1.26205219e-07  1.85307440e-07  3.12258864e-07 ... -2.61271641e-07
  -1.86355912e-07 -1.10421610e-07]]"
25,15,post,1,all,"[[ 4.47282194e-07  3.31407670e-07  4.56267600e-07 ... -3.96273005e-07
  -2.32301936e-07 -2.20211531e-07]
 [ 1.30251031e-06  1.19785011e-06  1.19355181e-06 ... -1.16707982e-06
  -9.68489185e-07 -8.81697985e-07]
 [ 8.68440353e-07  8.26537828e-07  8.83796246e-07 ... -8.14249436e-07
  -6.36380810e-07 -5.63633374e-07]
 ...
 [ 1.34106140e-07  2.41755160e-07  3.95766415e-07 ... -2.92865160e-07
  -3.60628535e-07 -4.96078346e-07]
 [ 7.13615684e-08  1.51045429e-07  2.92007866e-07 ... -3.55480831e-07
  -4.06511280e-07 -5.62091482e-07]
 [ 3.77244148e-08  1.04240711e-07  2.01793964e-07 ...  4.06050069e-08
   4.18543291e-09 -1.45326161e-07]]"
26,16,pre,0,all,"[[-1.43485334e-07 -1.68281833e-07 -1.91188306e-07 ... -5.98854844e-07
  -6.60029333e-07 -6.94333831e-07]
 [-1.44791279e-07 -1.86399549e-07 -2.30284014e-07 ... -3.92612957e-07
  -4.74789191e-07 -5.50683833e-07]
 [-1.36049368e-07 -1.42125711e-07 -1.71859344e-07 ... -5.74321713e-07
  -6.77999692e-07 -7.57765663e-07]
 ...
 [-5.19704442e-07 -6.31214071e-07 -6.19064104e-07 ... -2.95807304e-07
  -3.26485820e-07 -3.71390605e-07]
 [-6.76176449e-07 -8.02625536e-07 -7.90700048e-07 ... -1.77900002e-07
  -2.21622757e-07 -2.95246474e-07]
 [-6.05052885e-07 -8.01819118e-07 -8.43103138e-07 ...  2.15256396e-07
   2.30385490e-07  1.53267170e-07]]"
27,16,post,0,all,"[[ 5.55094244e-08  2.16067011e-07  2.45762808e-07 ... -7.64709263e-07
  -9.06000263e-07 -9.43689507e-07]
 [-5.91225717e-08  8.82862777e-08  1.03706584e-07 ... -9.25047431e-07
  -9.82143720e-07 -9.00300722e-07]
 [-1.42547015e-07  5.72017263e-08  1.06696435e-07 ... -9.59427824e-07
  -1.07446863e-06 -1.05256631e-06]
 ...
 [-2.94033722e-07 -6.45151796e-07 -8.35040516e-07 ...  1.07386517e-07
   2.09872260e-07  1.76225188e-07]
 [-2.66394805e-07 -7.70939194e-07 -1.09967813e-06 ...  4.39388235e-09
   1.31272884e-07  1.23725457e-07]
 [-5.61326373e-07 -1.06009592e-06 -1.36162557e-06 ... -1.82149218e-07
  -1.02848236e-07 -5.32934208e-08]]"
28,17,pre,1,all,"[[ 5.34388018e-07  7.89423329e-07  9.92901046e-07 ...  6.51593542e-08
   6.99696478e-08  6.00131796e-08]
 [ 3.97135881e-07  6.70082735e-07  8.84025036e-07 ...  3.19668062e-08
   1.24313644e-07  1.86152150e-07]
 [ 6.26642482e-07  9.68847478e-07  1.25625790e-06 ...  1.57576290e-07
   2.16640147e-07  2.33432010e-07]
 ...
 [-4.06599484e-07 -2.91172728e-07 -7.56284557e-08 ...  1.21898367e-07
   2.86974565e-07  4.09845243e-07]
 [-7.34623347e-07 -5.59279282e-07 -2.16444131e-07 ... -5.90345508e-08
   2.40494558e-07  4.85690474e-07]
 [-2.30702762e-07 -2.02706981e-07 -9.18286023e-08 ...  2.07773828e-07
   3.31875213e-07  4.07703152e-07]]"
29,17,post,1,all,"[[ 9.95240928e-07  1.13130532e-06  1.13423455e-06 ...  2.64412505e-07
   3.10194527e-07  3.14618955e-07]
 [ 7.30457908e-07  8.41967496e-07  8.52017591e-07 ...  7.03550243e-08
   2.90252660e-08 -2.64405873e-08]
 [ 1.13468757e-06  1.28543067e-06  1.29188466e-06 ...  2.69071593e-07
   3.14035859e-07  2.62919868e-07]
 ...
 [-1.85138990e-07 -3.27349351e-07 -3.52868505e-07 ...  3.64855411e-07
   4.90838002e-07  5.67085983e-07]
 [-4.06651329e-07 -5.84761580e-07 -5.47187688e-07 ...  6.99573308e-07
   7.96970614e-07  8.13680931e-07]
 [-3.62665026e-07 -5.13033250e-07 -4.84715994e-07 ...  3.82804564e-07
   4.71940852e-07  5.40870208e-07]]"
30,18,pre,1,all,"[[ 6.91461620e-07  5.46636862e-07  3.43697093e-07 ... -9.80781080e-07
  -6.28827464e-07 -2.29118063e-07]
 [ 4.14206358e-07  2.94378254e-07  1.39100484e-07 ... -8.30296673e-07
  -5.26585688e-07 -2.00126420e-07]
 [ 5.83101198e-07  4.70314261e-07  3.03111613e-07 ... -1.44636652e-06
  -1.08093250e-06 -6.52226486e-07]
 ...
 [ 8.77759978e-08  2.73380411e-07  5.88671180e-07 ... -5.75630268e-07
  -1.08008610e-06 -1.49949973e-06]
 [-3.69093037e-07 -6.47759436e-08  3.48767511e-07 ... -6.21103073e-07
  -9.04306394e-07 -1.22193128e-06]
 [-5.15328434e-07 -1.54379106e-07  2.77036471e-07 ...  7.76258625e-08
  -2.80056169e-07 -6.77452057e-07]]"
31,18,post,1,all,"[[-1.18764318e-07 -1.58586895e-07 -1.20121482e-07 ... -2.26446466e-07
  -3.83098681e-08  7.20662781e-08]
 [-1.70650198e-07 -1.52280954e-07 -8.10386973e-08 ... -1.78371086e-08
   1.26188682e-07  2.13185271e-07]
 [-3.04597680e-07 -3.10237794e-07 -2.55914072e-07 ... -6.70180819e-07
  -4.86073790e-07 -3.36524307e-07]
 ...
 [-1.05260193e-07 -3.16562519e-08  1.53730328e-08 ...  5.04134798e-07
   4.88447424e-07  4.05448705e-07]
 [-5.16239493e-07 -4.87106920e-07 -4.41532102e-07 ...  2.42295225e-07
   2.89542831e-07  2.79351757e-07]
 [-4.05409542e-07 -4.80869243e-07 -5.21663204e-07 ...  4.48589389e-07
   5.76077578e-07  6.26139627e-07]]"
32,19,pre,0,all,"[[-6.52249537e-08 -1.76864527e-07 -2.95413733e-07 ... -9.99006430e-07
  -9.88553526e-07 -9.42920969e-07]
 [ 1.45275878e-07  4.09553792e-08 -8.09348129e-08 ... -1.00165003e-06
  -1.03059012e-06 -9.96495548e-07]
 [ 1.20632384e-07  1.23772447e-08 -1.13141893e-07 ... -9.33115471e-07
  -8.78455449e-07 -7.98820882e-07]
 ...
 [-4.29346264e-07 -4.45538094e-07 -4.43472703e-07 ... -8.94071551e-08
  -6.04067692e-08 -1.05084318e-07]
 [-6.76698342e-07 -5.85992577e-07 -5.74284639e-07 ... -4.40317133e-07
  -3.10639061e-07 -2.53285698e-07]
 [-7.69435142e-08  2.71254435e-09  1.11137399e-07 ... -2.93770275e-07
  -6.60782126e-08  8.47822599e-08]]"
33,19,post,0,all,"[[ 1.84500632e-07  1.77698586e-07  1.52074046e-07 ... -1.38680496e-07
  -8.94243498e-08 -2.31358337e-08]
 [ 7.08240536e-09 -2.78627931e-08 -7.54539665e-08 ...  9.32581799e-08
   1.87103876e-07  2.75850022e-07]
 [-4.08278562e-08 -1.64505240e-07 -2.44827873e-07 ... -5.11698591e-09
   2.19710672e-08  1.09774555e-07]
 ...
 [-5.73978086e-08  4.47625770e-08  1.21291701e-07 ... -7.44384293e-09
  -8.59839600e-08 -2.56434185e-07]
 [ 2.02994453e-07  1.36103439e-07  1.10234860e-08 ... -2.94458734e-07
  -3.69927497e-07 -4.64977475e-07]
 [-8.74775462e-10  1.23501597e-07  2.30502900e-07 ... -1.91507084e-07
  -1.80566385e-07 -1.99201528e-07]]"
